labels,notes,notes_len
0,26 24 22 38 36 34 33 42 38 36 34 31 43 41 39 51 50 48 45 41 39 39 38 36 35 36 38 31 33 35 51 48 50 51 52 55 54 57 45 55 43 57 45 58 46 48 60 53 51 50 51 53 46,53
0,49 51 54 52 51 47 49 49 47 46 35,11
0,38 42 38 42 38 42 38 42 38 42 38 42 38 43 42 38 40 38 42 38 38 42 38 42 38 42 38 45 40 45 38 37 38 40 38 38 42 38 42 38 42 38 42 38 42 38 42 38 43 42 38 40 38 42 38 38 42 38 42 38 42 38 45 40 45 38 37 38 42 40,70
0,33 40 41 43 48 45 46 38 40 41 43 48 40 33 34 36 38 40 41 43 45 46 48 46 45 43 45 41 48,29
0,38 35 38 40 52 50 47 52 55 52 52 50 40 47 43 52 47 45 45 43 40 55 43 52 45 57 55 52 57 52 59 57 55 54 43 52 45 55 47 50 47 45 43 45 54 52 50 54 47 45 43 45 43 40 38 40 52 40 52 43 55 38 50 40 52 35,66
0,37 39 34 39 34 39 41 42 41 37 41 37 32 30 29 39 34 39 34 39 34 37 41 42 44 41 39 41 37 39 34 37 46 46 44 41 46 53 53 53 51 49 51 46 49 32 34 42 41 39 37 34 39 34 36 37 39 37 36 34 36 34 32 30 29 25 20 22 25 27 29 37 34 37,74
0,21 18 30 32 33 40 38 37 38 28 30 32 38 37 22 26 28 35 33 32 33 35 40 38 37 42 44 45 54 54 54 54 54 56 52 49 54 52 50 47 44 44 49 47 54 42 44 45 45 42 37 42 41 30 42,55
0,41 39 37 36 37 36 34 32 34 49 51 53 49 51 34 48 37 46 34 37 39 39 41 42 41 39 41 41 41 41 41 44 46 44 41 39 37 39 41 39 41 34 49 48 48 46 36 48 34 32 36 32 29 37 36 34 34,57
0,40 52 37 49 33 45 35 47 37 49 40 52 42 54 40 52 42 54 40 52 35 47 37 49 42 54 35 40 47 52 42 54 40 52 33 37 45 49 35 47 33 45 35 47 45 57 44 56 42 54 40 52 37 49 42 54 42,57
0,39 41 42 44 46 49 51 53 53 51 49 46 51 49 51 53 56 53 58 53 49 51 53 58 53 51 49 41 41 44 46 44 46 51 53 49 46 46 48 49 48 49 51 53 51 53 56 34 58,49
0,42 45 54 50 49 50 52 49 40 45 47 49 50 47 49 49 47 49 45 52 44 49 45 40 38 38 37 38 50 37 37 36 37 49 35 40 44 47 45 40 33 40,42
0,24 26 27 26 24 38 45 43 43 48 45 45 43 33 37 40 43 44 45 47 49 52 52 50 53 28 41 29,28
0,42 40 39 54 47 49 50 54 47 35 49 37 50 38 54 37 35 54 47 49 50 54 47 49 50 33 54 32 33 35 33 35 37 35 37 38 37 38 40 38 40 42 40 42 44 42 44 45 44 45 49 56 54 56 61 59 30 61,58
0,41 43 45 46 48 46 50 55 57 58 57 53 46 48 50 51 50 50 48 46,20
0,37 39 42 39 42 44 44 39 42 44 37 35 37 35 39 37 35 32 35 37 32 30 25 23 20 23 25 23 27 30 30 30 27 30 32 35 37 39 42 30,40
0,41 32 37 41 42 34 39 42 44 36 41 44 46 34 37 42 44 37 41 44 46 39 42 46 48 36 41 44 41 39 42 37 41 30 42 44 46 49 32 48 46 44 27 42 29 41 44 27 51 48 25 29 49 44 42 41 30 42 46 32 44 27 48 25 49 27 25 29 37 39 32 41 44 46 48 49 46,77
0,31 34 36 46 48 34 46 34 46 31 43 29 41 27 39 29 41 31 43 31 43 31 43 31 43 31 43 31 43 31 43 31 43 31 43 31 43 31 46 48 34 46 34 46 31 43 29 41 27 39 29 41 31 43 29 41 29 41 29 41 29 41 29 41 29 41 29 46 48 51 53 55 51 53 48 46 55 53 51 48 51 46,82
0,46 46 48 51 55 53 51 50 51 50 46 41 46 48 46 48 51 55 53 55 55 53 55 58 58 58 58 56 55 51 46 53 41,33
0,43 44 43 44 44 43 44 43 44 43 41 39 43 41 44 44 46 44 46 46 44 43 41 43 44 43 43 55 48 60 43 51 50 48 51 50 48 53 51 50 48 46 44 41 39 38 36 39 41 43 44 43 48 44 51,55
0,46 43 41 43 41 38 38 36 38 41 43 46 43 41 43 41 38 38 36 38 41 43 38,23
0,43 43 43 43 43 41 39 41 41 41 41 41 41 46 43 43 43 43 43 43 41 39 41 46 46 46 46 48 50 43 43 43 46 43 43 41 43 46 39 41 39 41 46 46 48 46 43 39 43 46 39 39 41 39 41 36 38 39 39 41 39 38 31,63
0,43 43 45 42 45 45 45 47 50 47 45 42 45 45 47 50 52 54 54 54 54 54 54 54 42 47 45 54 54 54 54 54 54 50 50 52 42,37
0,45 40 40 38 40 36 38 40 28 26 36 24 40 26 45 28 36 36 45 45 38 40 31 28 26 40 38 36 31 33 36 33 38 26 24 33 36 26 33 31 28 33 40 43 45 52 50 48 45 47 45 43 40 40 43 45 52 50 48 47 45 28 26 24 33 21,66
0,48 45 48 45 48 45 48 45 47 43 40 38 36 36 38 40 38 38 40 45 45 48,22
0,54 56 54 56 59 56 54 56 61 56 25 27 51 52 28 54 59 56 44 47 52 54 49 56 44 49 56 49 42 54 35 52 40 35 44 45 40 47 47 32 44,41
0,52 49 40 45 49 50 42 45 50 52 49 52 54 50 54 57 50 50 52 57 29 33 45 35 47 36 48 35 47 38 50 45 57 43 55 43 55 47 59 50 62 48 60 49 61 52 64 56 68 54 66 52 64 33,54
0,35 52 32 49 30 47 44 61 42 59 39 56 37 54 35 52 47 64 46 63 47 64 46 63 42 59 39 56 44 61 46 63 47 64 40 57 39 56 37 54 39 56 40 57 42 59 40,47
0,46 44 42 39 42 44 47 46 44 42 39 39 42 44 42 39 37 35 37 42 39 42 47 49 44 51 52 47 54 46 44 42 39 42 59 44 58 47 56 46 44 42 39 39 51 42 44 56 42 42 39 37 39 44 42 42 44 42 44 47 49 51 54 39,64
0,27 29 31 32 34 36 38 40 41 36 39 41 39 36 34 36 34 36 34 32 31 32 43 39 34 36 37 39 41 44 43 44 43 41 39 41 39 36 34 36 34 32 31 32 31 29 27 29 27 24 22 34,52
0,43 50 46 44 43 44 41 39 38 39 43 48 46 44 46 34 39 41 43 34 39 41 34,23
0,46 46 49 51 49 51 46 46 49 51 49 46 46 46 49 51 49 51 54 54 51 49 46 46 49 51 49 51 46 46 49 51 49 46 46 46 49 51 49 51 54 54 49 51 54 58 56 56 39,49
0,43 50 43 48 47 45 47 52 51 35 40 35 45 36 43 35 42 33 38 33 43 33 42 33 40 31 36 31 40 31 36 33 42 31 40 39 35,37
